beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-14.83245397313843,-20.082412422144987,-24.91967137403361,3.302954623903297,1.4579251963843725,0.2426733848412024,-13.997352,-19.50939,-24.091673,2.910252,1.124849,0.363548,81.0366943359375,-69.99293365478516,-284.9661010742187,0.4902178457292461,-0.4675540980669568,0.4688927010217239,-0.5667620876857626,0.8842065930366516,-69.58459854125977,-61.97371063232422,-228.452734375,0.1876305645539438,0.6206842302167929,0.7612790931093246,0.0,0.0
-14.20261390465979,-16.58002511637145,-22.56424437568645,1.5314469067202965,0.1429349792106814,1.0179646049023103,-13.986997,-17.588538,-23.03467,1.932336,0.353124,0.799153,80.99485778808594,-70.00588836669922,-284.9784851074219,0.49895588823251985,-0.46503680205647135,0.46988393883181767,-0.5603506744522435,0.8847591280937195,-70.79958648681641,-48.58041229248047,-228.25812377929688,0.5384252711956095,0.5994514764979533,0.5922467008454824,0.0,0.0
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402477,0.9445505134237308,-14.176554,-17.928109,-23.815182,1.93265,0.952866,0.799781,80.91917724609375,-70.07375030517578,-284.98426513671876,0.498864094991425,-0.4644033725817597,0.47072377138601323,-0.560252847663626,0.8806918263435364,-72.69504852294922,-46.845543670654294,-227.19878234863282,0.4547084603510303,0.692655730913445,0.5598823577484441,0.0,0.0
-14.575989864007344,-17.731470705839055,-20.57616547488943,0.5828637888089898,1.544983531678021,0.8690220019779114,-14.104372,-17.851532,-21.2858,1.042295,1.299656,0.799781,80.97633819580078,-70.03352661132813,-285.02971801757815,0.5009772583665466,-0.4629776887976597,0.47077732296612085,-0.5595017054987128,0.8797512054443359,-64.99226226806641,-39.12520523071289,-232.71845703125,0.450866002075359,0.7317883284029848,0.5110828607826206,0.0,0.0
-14.31401047166162,-18.72160335743685,-22.920568667680364,2.4966919488001103,2.097605972292393,0.2150396308369651,-14.173729,-18.09915,-22.227938,2.199411,1.732922,0.450166,80.95517578125,-69.97681274414063,-284.9833190917969,0.4997405066611822,-0.46406374983129267,0.4716366870138776,-0.5589839868521441,0.8649455904960632,-67.05848388671875,-48.958432006835935,-234.37625122070312,-0.6879491392506117,0.44628473971319765,0.5723250063586824,0.0,0.0
-11.530776111662764,-11.959596474431796,-13.369069976551591,0.3570259316505993,0.0151729082322403,0.0420266089906188,-12.01202,-12.961012,-14.482587,0.867173,0.352497,0.267827,80.91119689941407,-69.98300476074219,-285.0151123046875,0.500866304199444,-0.4613329630684154,0.47165099646828873,-0.560223330498272,0.8858904242515564,-41.971624755859374,-37.6869255065918,-252.84511108398436,0.3482576682340283,0.7016316132085414,0.6216346803891954,0.0,0.0
-11.5581368605059,-14.924220174646624,-20.888923474305557,2.444242395848389,0.5993861044104093,0.0776567569897956,-11.845059,-14.104948,-19.97459,2.110595,0.436291,0.179012,80.94463500976562,-70.03500518798828,-285.0716247558594,0.5052908476164759,-0.46726561125696087,0.47150363734820705,-0.5513876384351508,0.8842876553535461,-53.91957473754883,-40.9034309387207,-244.05486450195312,0.49821464347092276,0.70338540620426,0.5069823856604974,0.0,0.0
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,-12.264345,-18.014727,-22.237981,1.22024,0.785277,0.448911,80.89839935302734,-70.00147399902343,-285.04432983398436,0.497969378420721,-0.4637765379565001,0.473547431886699,-0.5591874915892485,0.8842396140098572,-61.86784210205078,-40.982530975341795,-229.20057678222656,0.4780276576137508,0.7045690384671371,0.5244730961544208,0.0,0.0
-14.021073231648222,-20.20559450385495,-23.03961518192861,0.2131448854600591,0.242583550685382,1.5490587719591966,-13.309108,-19.323599,-22.569393,0.606061,0.436291,1.243546,80.91697692871094,-70.02154998779297,-285.0172973632813,0.49835920891287366,-0.4635431191607454,0.47246076232831974,-0.5599524119339113,0.8860098719596863,-62.55075454711914,-35.781517028808594,-225.6114044189453,0.5831028907694342,0.7515315161308364,0.308531034157693,0.0,0.0
-14.778446475469956,-18.71049208892939,-19.546100297656093,2.443826759172401,0.5028302180143431,0.2451088886655329,-13.66343,-19.157578,-20.254847,2.109968,0.437546,0.540552,80.91328582763671,-69.97877044677735,-284.99151000976565,0.49864319243616606,-0.46371964885362293,0.4722704842422311,-0.5597138944297789,0.8863868713378906,-55.398241424560545,-50.63058319091797,-232.63022155761718,0.601798048218675,0.636883282397095,0.48189085254162617,0.0,0.0
